filename,OUR OPT VALUE,STATUS,TIME (s)
30_00_005_100_25_1.GSP,148,FINISHED,71.7
30_00_005_100_25_2.GSP,126,FINISHED,13.96
30_00_005_100_25_3.GSP,129,FINISHED,7.99
30_00_005_100_25_4.GSP,,UNSAT,0.11
30_00_005_100_50_1.GSP,148,FINISHED,5.99
30_00_005_100_50_2.GSP,126,FINISHED,2.93
30_00_005_100_50_3.GSP,129,FINISHED,0.81
30_00_005_100_50_4.GSP,,UNSAT,0.09
30_00_005_100_75_1.GSP,148,FINISHED,0.36
30_00_005_100_75_2.GSP,126,FINISHED,0.25
30_00_005_100_75_3.GSP,129,FINISHED,0.24
30_00_005_100_75_4.GSP,,ERROR,0.08
30_00_005_125_25_1.GSP,,UNSAT,0.11
30_00_005_125_25_2.GSP,,ERROR,0.08
