filename,SAT,STATUS,TIME (s)
50_00_005_100_25_1.GSP,2252,TIMEOUT,600.02
50_00_005_100_50_1.GSP,-,UNSAT,0.21
50_00_005_100_75_1.GSP,-,UNSAT,6.48
50_00_005_125_25_1.GSP,-,UNSAT,0.08
50_00_005_125_50_1.GSP,-,UNSAT,0.08
50_00_005_125_75_1.GSP,2516,FINISHED,138.53
50_00_005_150_25_1.GSP,2426,TIMEOUT,600.02
50_00_005_150_50_1.GSP,2595,TIMEOUT,600.02
50_00_005_150_75_1.GSP,1967,FINISHED,46.04
50_00_025_100_25_1.GSP,1521,TIMEOUT,600.02
50_00_025_100_50_1.GSP,2262,TIMEOUT,600.01
50_00_025_100_75_1.GSP,-,UNSAT,16.83
50_00_025_125_25_1.GSP,1900,TIMEOUT,600.02
50_00_025_125_50_1.GSP,2063,TIMEOUT,600.02
50_00_025_125_75_1.GSP,-,UNSAT,7.1
50_00_025_150_25_1.GSP,2092,TIMEOUT,600.01
50_00_025_150_50_1.GSP,1834,TIMEOUT,600.0
50_00_025_150_75_1.GSP,1981,FINISHED,76.75
50_00_050_100_25_1.GSP,1820,TIMEOUT,600.01
50_00_050_100_50_1.GSP,1511,TIMEOUT,600.02
50_00_050_100_75_1.GSP,1962,FINISHED,573.97
50_00_050_125_25_1.GSP,1196,TIMEOUT,600.02
50_00_050_125_50_1.GSP,1849,TIMEOUT,600.01
50_00_050_125_75_1.GSP,-,UNSAT,0.08
50_00_050_150_25_1.GSP,1595,TIMEOUT,600.02
50_00_050_150_50_1.GSP,1847,TIMEOUT,600.03
50_00_050_150_75_1.GSP,1777,TIMEOUT,600.02
50_05_005_100_25_1.GSP,1367,FINISHED,155.7
50_05_005_100_50_1.GSP,1246,TIMEOUT,600.01
50_05_005_100_75_1.GSP,1794,FINISHED,30.52
50_05_005_125_25_1.GSP,1018,TIMEOUT,600.02
50_05_005_125_50_1.GSP,1666,TIMEOUT,600.01
50_05_005_125_75_1.GSP,2382,FINISHED,97.46
50_05_005_150_25_1.GSP,1396,TIMEOUT,600.02
50_05_005_150_50_1.GSP,1597,TIMEOUT,600.01
50_05_005_150_75_1.GSP,1641,FINISHED,78.15
50_05_025_100_25_1.GSP,1070,TIMEOUT,600.02
50_05_025_100_50_1.GSP,1668,TIMEOUT,600.03
