filename,CPLEX,TIME (s),STATUS
10_05_005_100_25_1.GSP,184,1.27,FINISHED
10_05_005_100_50_1.GSP,213,0.91,FINISHED
10_05_005_100_75_1.GSP,263,0.86,FINISHED
10_05_005_125_25_1.GSP,172,0.76,FINISHED
10_05_005_125_50_1.GSP,-,0.66,ERROR
10_05_005_125_75_1.GSP,-,0.5,ERROR
10_05_025_100_25_1.GSP,67,0.57,FINISHED
10_05_025_100_50_1.GSP,-,0.52,ERROR
10_05_025_100_75_1.GSP,248,0.55,FINISHED
10_05_025_125_25_1.GSP,96,0.61,FINISHED
10_05_025_125_50_1.GSP,214,0.56,FINISHED
10_05_025_125_75_1.GSP,130,0.55,FINISHED
10_05_050_100_25_1.GSP,124,0.57,FINISHED
10_05_050_100_50_1.GSP,66,0.56,FINISHED
10_05_050_100_75_1.GSP,245,0.57,FINISHED
10_05_050_125_25_1.GSP,13,0.56,FINISHED
10_05_050_125_50_1.GSP,145,0.55,FINISHED
10_05_050_125_75_1.GSP,229,0.6,FINISHED
10_10_005_100_25_1.GSP,-,0.73,ERROR
10_10_005_100_50_1.GSP,281,0.58,FINISHED
10_10_005_100_75_1.GSP,184,0.61,FINISHED
10_10_005_125_25_1.GSP,148,0.55,FINISHED
10_10_005_125_50_1.GSP,184,0.56,FINISHED
10_10_005_125_75_1.GSP,256,0.57,FINISHED
10_10_025_100_25_1.GSP,58,0.56,FINISHED
10_10_025_100_50_1.GSP,136,0.6,FINISHED
10_10_025_100_75_1.GSP,210,0.55,FINISHED
10_10_025_125_25_1.GSP,76,0.54,FINISHED
10_10_025_125_50_1.GSP,53,0.56,FINISHED
10_10_025_125_75_1.GSP,241,0.54,FINISHED
20_05_005_100_25_1.GSP,411,0.78,FINISHED
20_05_005_100_50_1.GSP,372,0.55,FINISHED
20_05_005_100_75_1.GSP,512,0.53,FINISHED
20_05_005_125_25_1.GSP,540,0.53,FINISHED
20_05_005_125_50_1.GSP,578,0.52,FINISHED
20_05_005_125_75_1.GSP,560,0.5,FINISHED
20_05_025_100_25_1.GSP,410,0.53,FINISHED
20_05_025_100_50_1.GSP,447,0.53,FINISHED
20_05_025_100_75_1.GSP,610,0.57,FINISHED
20_05_025_125_25_1.GSP,335,0.56,FINISHED
20_05_025_125_50_1.GSP,417,0.5,FINISHED
20_05_025_125_75_1.GSP,466,0.5,FINISHED
20_05_050_100_25_1.GSP,318,0.53,FINISHED
20_05_050_100_50_1.GSP,406,0.51,FINISHED
20_05_050_100_75_1.GSP,803,0.52,FINISHED
20_05_050_125_25_1.GSP,425,0.53,FINISHED
20_05_050_125_50_1.GSP,592,0.53,FINISHED
20_05_050_125_75_1.GSP,562,0.55,FINISHED
20_10_005_100_25_1.GSP,356,0.52,FINISHED
20_10_005_100_50_1.GSP,379,0.52,FINISHED
20_10_005_100_75_1.GSP,485,0.52,FINISHED
20_10_005_125_25_1.GSP,102,0.57,FINISHED
20_10_005_125_50_1.GSP,289,0.56,FINISHED
20_10_005_125_75_1.GSP,378,0.58,FINISHED
20_10_025_100_25_1.GSP,67,0.56,FINISHED
20_10_025_100_50_1.GSP,151,0.55,FINISHED
20_10_025_100_75_1.GSP,361,0.56,FINISHED
20_10_025_125_25_1.GSP,688,0.57,FINISHED
20_10_025_125_50_1.GSP,277,0.52,FINISHED
20_10_025_125_75_1.GSP,551,0.51,FINISHED
20_10_050_100_25_1.GSP,29,0.54,FINISHED
20_10_050_100_50_1.GSP,237,0.52,FINISHED
20_10_050_100_75_1.GSP,125,0.51,FINISHED
20_10_050_125_25_1.GSP,362,0.5,FINISHED
20_10_050_125_50_1.GSP,379,0.5,FINISHED
20_10_050_125_75_1.GSP,311,0.52,FINISHED
30_05_005_100_25_1.GSP,760,0.51,FINISHED
30_05_005_100_50_1.GSP,722,0.52,FINISHED
30_05_005_100_75_1.GSP,1032,0.53,FINISHED
30_05_005_125_25_1.GSP,739,0.5,FINISHED
30_05_005_125_50_1.GSP,966,0.53,FINISHED
30_05_005_125_75_1.GSP,1001,0.54,FINISHED
30_05_025_100_25_1.GSP,573,0.55,FINISHED
30_05_025_100_50_1.GSP,696,0.55,FINISHED
30_05_025_100_75_1.GSP,917,0.55,FINISHED
