filename,CPLEX,TIME (s),STATUS
10_05_005_100_25_1.GSP,184,1.19,FINISHED
10_05_005_100_50_1.GSP,213,0.59,FINISHED
10_05_005_100_75_1.GSP,263,0.57,FINISHED
10_05_005_125_25_1.GSP,172,0.59,FINISHED
10_05_005_125_50_1.GSP,-,0.55,ERROR
10_05_005_125_75_1.GSP,-,0.55,ERROR
10_05_025_100_25_1.GSP,67,0.55,FINISHED
10_05_025_100_50_1.GSP,-,0.55,ERROR
10_05_025_100_75_1.GSP,248,0.54,FINISHED
10_05_025_125_25_1.GSP,96,0.55,FINISHED
10_05_025_125_50_1.GSP,214,0.55,FINISHED
10_05_025_125_75_1.GSP,130,0.54,FINISHED
10_05_050_100_25_1.GSP,124,0.59,FINISHED
10_05_050_100_50_1.GSP,66,0.55,FINISHED
10_05_050_100_75_1.GSP,245,0.55,FINISHED
10_05_050_125_25_1.GSP,13,0.57,FINISHED
10_05_050_125_50_1.GSP,145,0.58,FINISHED
10_05_050_125_75_1.GSP,229,0.62,FINISHED
10_10_005_100_25_1.GSP,-,0.56,ERROR
10_10_005_100_50_1.GSP,281,0.58,FINISHED
10_10_005_100_75_1.GSP,184,0.55,FINISHED
10_10_005_125_25_1.GSP,148,0.57,FINISHED
10_10_005_125_50_1.GSP,184,0.58,FINISHED
10_10_005_125_75_1.GSP,256,0.56,FINISHED
10_10_025_100_25_1.GSP,58,0.56,FINISHED
10_10_025_100_50_1.GSP,136,0.58,FINISHED
10_10_025_100_75_1.GSP,210,0.58,FINISHED
10_10_025_125_25_1.GSP,76,0.61,FINISHED
10_10_025_125_50_1.GSP,53,0.57,FINISHED
10_10_025_125_75_1.GSP,241,0.56,FINISHED
20_05_005_100_25_1.GSP,411,3.09,FINISHED
20_05_005_100_50_1.GSP,372,0.64,FINISHED
20_05_005_100_75_1.GSP,512,0.77,FINISHED
20_05_005_125_25_1.GSP,540,1.79,FINISHED
20_05_005_125_50_1.GSP,578,0.91,FINISHED
20_05_005_125_75_1.GSP,560,0.71,FINISHED
20_05_025_100_25_1.GSP,410,1.32,FINISHED
20_05_025_100_50_1.GSP,447,0.72,FINISHED
20_05_025_100_75_1.GSP,610,0.8,FINISHED
20_05_025_125_25_1.GSP,335,297.99,FINISHED
20_05_025_125_50_1.GSP,417,6.85,FINISHED
20_05_025_125_75_1.GSP,466,0.74,FINISHED
20_05_050_100_25_1.GSP,318,0.76,FINISHED
20_05_050_100_50_1.GSP,406,0.89,FINISHED
20_05_050_100_75_1.GSP,803,0.75,FINISHED
20_05_050_125_25_1.GSP,425,2.32,FINISHED
20_05_050_125_50_1.GSP,592,1.56,FINISHED
20_05_050_125_75_1.GSP,562,0.66,FINISHED
20_10_005_100_25_1.GSP,356,0.65,FINISHED
20_10_005_100_50_1.GSP,379,0.65,FINISHED
20_10_005_100_75_1.GSP,485,0.62,FINISHED
20_10_005_125_25_1.GSP,102,0.71,FINISHED
20_10_005_125_50_1.GSP,289,0.62,FINISHED
20_10_005_125_75_1.GSP,378,0.62,FINISHED
20_10_025_100_25_1.GSP,67,0.64,FINISHED
20_10_025_100_50_1.GSP,151,0.63,FINISHED
20_10_025_100_75_1.GSP,361,0.63,FINISHED
20_10_025_125_25_1.GSP,688,0.63,FINISHED
20_10_025_125_50_1.GSP,277,0.64,FINISHED
20_10_025_125_75_1.GSP,551,0.67,FINISHED
20_10_050_100_25_1.GSP,29,0.63,FINISHED
20_10_050_100_50_1.GSP,237,0.61,FINISHED
20_10_050_100_75_1.GSP,125,0.64,FINISHED
20_10_050_125_25_1.GSP,362,0.65,FINISHED
20_10_050_125_50_1.GSP,379,0.64,FINISHED
20_10_050_125_75_1.GSP,311,0.62,FINISHED
30_05_005_100_25_1.GSP,760,298.11,FINISHED
30_05_005_100_50_1.GSP,722,299.86,FINISHED
30_05_005_100_75_1.GSP,1032,46.79,FINISHED
30_05_005_125_25_1.GSP,739,298.52,FINISHED
30_05_005_125_50_1.GSP,966,71.56,FINISHED
30_05_005_125_75_1.GSP,1001,63.64,FINISHED
30_05_025_100_25_1.GSP,573,298.17,FINISHED
30_05_025_100_50_1.GSP,696,298.38,FINISHED
30_05_025_100_75_1.GSP,917,3.75,FINISHED
30_05_025_125_25_1.GSP,714,298.34,FINISHED
30_05_025_125_50_1.GSP,759,298.23,FINISHED
30_05_025_125_75_1.GSP,1001,1.42,FINISHED
30_05_050_100_25_1.GSP,206,3.87,FINISHED
30_05_050_100_50_1.GSP,478,1.14,FINISHED
30_05_050_100_75_1.GSP,704,298.36,FINISHED
30_05_050_125_25_1.GSP,546,298.54,FINISHED
30_05_050_125_50_1.GSP,739,2.25,FINISHED
30_05_050_125_75_1.GSP,678,26.28,FINISHED
30_10_005_100_25_1.GSP,239,0.82,FINISHED
30_10_005_100_50_1.GSP,1208,0.78,FINISHED
30_10_005_100_75_1.GSP,635,0.73,FINISHED
30_10_005_125_25_1.GSP,343,7.85,FINISHED
30_10_005_125_50_1.GSP,918,0.85,FINISHED
30_10_005_125_75_1.GSP,1092,0.72,FINISHED
30_10_025_100_25_1.GSP,856,0.74,FINISHED
30_10_025_100_50_1.GSP,472,0.78,FINISHED
30_10_025_100_75_1.GSP,509,0.72,FINISHED
30_10_025_125_25_1.GSP,354,0.85,FINISHED
30_10_025_125_50_1.GSP,104,0.7,FINISHED
30_10_025_125_75_1.GSP,1249,0.72,FINISHED
30_10_050_100_25_1.GSP,699,0.76,FINISHED
30_10_050_100_50_1.GSP,540,2.17,FINISHED
30_10_050_100_75_1.GSP,640,0.71,FINISHED
30_10_050_125_25_1.GSP,801,0.83,FINISHED
30_10_050_125_50_1.GSP,224,0.82,FINISHED
30_10_050_125_75_1.GSP,743,298.14,FINISHED
40_05_005_100_25_1.GSP,1266,299.07,FINISHED
40_05_005_100_50_1.GSP,1017,298.3,FINISHED
40_05_005_100_75_1.GSP,1257,298.89,FINISHED
40_05_005_125_25_1.GSP,996,297.99,FINISHED
40_05_005_125_50_1.GSP,853,298.31,FINISHED
40_05_005_125_75_1.GSP,1653,298.12,FINISHED
40_05_025_100_25_1.GSP,836,298.32,FINISHED
40_05_025_100_50_1.GSP,1453,298.13,FINISHED
40_05_025_100_75_1.GSP,789,298.34,FINISHED
40_05_025_125_25_1.GSP,1413,298.17,FINISHED
40_05_025_125_50_1.GSP,1051,298.21,FINISHED
40_05_025_125_75_1.GSP,1532,298.34,FINISHED
40_05_050_100_25_1.GSP,483,298.2,FINISHED
40_05_050_100_50_1.GSP,715,298.21,FINISHED
40_05_050_100_75_1.GSP,593,298.76,FINISHED
40_05_050_125_25_1.GSP,783,298.26,FINISHED
40_05_050_125_50_1.GSP,671,2.54,FINISHED
40_05_050_125_75_1.GSP,1110,298.22,FINISHED
40_10_005_100_25_1.GSP,610,0.78,FINISHED
40_10_005_100_50_1.GSP,883,298.72,FINISHED
40_10_005_100_75_1.GSP,1141,0.76,FINISHED
40_10_005_125_25_1.GSP,654,299.08,FINISHED
40_10_005_125_50_1.GSP,658,0.78,FINISHED
40_10_005_125_75_1.GSP,950,1.39,FINISHED
40_10_025_100_25_1.GSP,236,0.75,FINISHED
40_10_025_100_50_1.GSP,136,298.35,FINISHED
40_10_025_100_75_1.GSP,900,298.35,FINISHED
40_10_025_125_25_1.GSP,444,0.92,FINISHED
40_10_025_125_50_1.GSP,1121,0.79,FINISHED
40_10_025_125_75_1.GSP,792,0.73,FINISHED
40_10_050_100_25_1.GSP,19,0.76,FINISHED
40_10_050_100_50_1.GSP,900,0.86,FINISHED
40_10_050_100_75_1.GSP,0,0.74,FINISHED
40_10_050_125_25_1.GSP,155,1.08,FINISHED
40_10_050_125_50_1.GSP,636,0.89,FINISHED
40_10_050_125_75_1.GSP,920,0.76,FINISHED
50_05_005_100_25_1.GSP,1367,298.58,FINISHED
50_05_005_100_50_1.GSP,1246,298.58,FINISHED
50_05_005_100_75_1.GSP,1794,298.07,FINISHED
50_05_005_125_25_1.GSP,1018,298.77,FINISHED
50_05_005_125_50_1.GSP,1661,298.43,FINISHED
50_05_005_125_75_1.GSP,2382,298.22,FINISHED
50_05_025_100_25_1.GSP,1070,297.95,FINISHED
50_05_025_100_50_1.GSP,1668,298.19,FINISHED
50_05_025_100_75_1.GSP,1429,298.13,FINISHED
50_05_025_125_25_1.GSP,894,298.2,FINISHED
50_05_025_125_50_1.GSP,1126,298.15,FINISHED
50_05_025_125_75_1.GSP,1245,298.28,FINISHED
50_05_050_100_25_1.GSP,996,297.83,FINISHED
50_05_050_100_50_1.GSP,724,298.38,FINISHED
50_05_050_100_75_1.GSP,1180,297.88,FINISHED
50_05_050_125_25_1.GSP,748,298.03,FINISHED
50_05_050_125_50_1.GSP,1116,298.64,FINISHED
50_05_050_125_75_1.GSP,1306,298.29,FINISHED
50_10_005_100_25_1.GSP,374,298.41,FINISHED
50_10_005_100_50_1.GSP,802,1.03,FINISHED
50_10_005_100_75_1.GSP,1714,0.72,FINISHED
50_10_005_125_25_1.GSP,303,35.29,FINISHED
50_10_005_125_50_1.GSP,534,0.94,FINISHED
50_10_005_125_75_1.GSP,2268,1.54,FINISHED
50_10_025_100_25_1.GSP,1471,0.88,FINISHED
50_10_025_100_50_1.GSP,928,1.28,FINISHED
50_10_025_100_75_1.GSP,492,0.74,FINISHED
50_10_025_125_25_1.GSP,174,297.98,FINISHED
50_10_025_125_50_1.GSP,0,0.82,FINISHED
50_10_025_125_75_1.GSP,1003,0.85,FINISHED
50_10_050_100_25_1.GSP,204,0.99,FINISHED
50_10_050_100_50_1.GSP,696,0.84,FINISHED
50_10_050_100_75_1.GSP,747,300.01,TIMEOUT
50_10_050_125_25_1.GSP,158,0.88,FINISHED
50_10_050_125_50_1.GSP,418,0.85,FINISHED
50_10_050_125_75_1.GSP,801,0.88,FINISHED
