filename,CPLEX,TIME (s),STATUS
10_05_005_100_25_1.GSP,184,1.17,FINISHED
10_05_005_100_50_1.GSP,213,0.2,FINISHED
10_05_005_100_75_1.GSP,263,0.17,FINISHED
10_05_005_125_25_1.GSP,172,0.22,FINISHED
10_05_005_125_50_1.GSP,-,0.16,ERROR
10_05_005_125_75_1.GSP,-,0.18,ERROR
10_05_025_100_25_1.GSP,67,0.18,FINISHED
10_05_025_100_50_1.GSP,-,0.16,ERROR
10_05_025_100_75_1.GSP,248,0.17,FINISHED
10_05_025_125_25_1.GSP,96,0.19,FINISHED
10_05_025_125_50_1.GSP,214,0.19,FINISHED
10_05_025_125_75_1.GSP,130,0.17,FINISHED
10_05_050_100_25_1.GSP,124,0.18,FINISHED
10_05_050_100_50_1.GSP,66,0.19,FINISHED
10_05_050_100_75_1.GSP,245,0.2,FINISHED
10_05_050_125_25_1.GSP,13,0.18,FINISHED
10_05_050_125_50_1.GSP,145,0.19,FINISHED
10_05_050_125_75_1.GSP,229,0.18,FINISHED
10_10_005_100_25_1.GSP,-,0.16,ERROR
10_10_005_100_50_1.GSP,281,0.16,FINISHED
10_10_005_100_75_1.GSP,184,0.18,FINISHED
10_10_005_125_25_1.GSP,148,0.17,FINISHED
10_10_005_125_50_1.GSP,184,0.16,FINISHED
10_10_005_125_75_1.GSP,256,0.16,FINISHED
10_10_025_100_25_1.GSP,58,0.18,FINISHED
10_10_025_100_50_1.GSP,136,0.18,FINISHED
10_10_025_100_75_1.GSP,210,0.17,FINISHED
10_10_025_125_25_1.GSP,76,0.17,FINISHED
10_10_025_125_50_1.GSP,53,0.16,FINISHED
10_10_025_125_75_1.GSP,241,0.17,FINISHED
20_05_005_100_25_1.GSP,411,2.19,FINISHED
20_05_005_100_50_1.GSP,372,0.22,FINISHED
20_05_005_100_75_1.GSP,512,0.35,FINISHED
20_05_005_125_25_1.GSP,540,0.48,FINISHED
20_05_005_125_50_1.GSP,578,0.35,FINISHED
20_05_005_125_75_1.GSP,560,0.33,FINISHED
20_05_025_100_25_1.GSP,410,0.71,FINISHED
20_05_025_100_50_1.GSP,447,0.31,FINISHED
20_05_025_100_75_1.GSP,610,0.39,FINISHED
