filename,SAT,TIME (s),STATUS
10_05_005_100_25_1.GSP,184,0.73,FINISHED
10_05_005_100_50_1.GSP,213,0.38,FINISHED
10_05_005_100_75_1.GSP,263,0.38,FINISHED
10_05_005_125_25_1.GSP,172,0.53,FINISHED
10_05_005_125_50_1.GSP,-,0.1,UNSAT
10_05_005_125_75_1.GSP,-,0.1,UNSAT
10_05_025_100_25_1.GSP,67,0.38,FINISHED
10_05_025_100_50_1.GSP,-,0.1,UNSAT
10_05_025_100_75_1.GSP,248,0.18,FINISHED
10_05_025_125_25_1.GSP,96,0.38,FINISHED
10_05_025_125_50_1.GSP,214,0.52,FINISHED
10_05_025_125_75_1.GSP,130,0.24,FINISHED
10_05_050_100_25_1.GSP,124,0.65,FINISHED
10_05_050_100_50_1.GSP,66,0.88,FINISHED
10_05_050_100_75_1.GSP,245,0.35,FINISHED
10_05_050_125_25_1.GSP,13,0.87,FINISHED
10_05_050_125_50_1.GSP,145,0.7,FINISHED
10_05_050_125_75_1.GSP,229,0.47,FINISHED
10_10_005_100_25_1.GSP,-,0.18,UNSAT
10_10_005_100_50_1.GSP,281,0.33,FINISHED
10_10_005_100_75_1.GSP,184,0.3,FINISHED
10_10_005_125_25_1.GSP,148,0.26,FINISHED
10_10_005_125_50_1.GSP,184,0.29,FINISHED
10_10_005_125_75_1.GSP,256,0.16,FINISHED
10_10_025_100_25_1.GSP,58,0.72,FINISHED
10_10_025_100_50_1.GSP,136,0.58,FINISHED
10_10_025_100_75_1.GSP,210,0.38,FINISHED
10_10_025_125_25_1.GSP,76,0.65,FINISHED
10_10_025_125_50_1.GSP,53,0.57,FINISHED
10_10_025_125_75_1.GSP,241,0.55,FINISHED
20_05_005_100_25_1.GSP,411,3.63,FINISHED
20_05_005_100_50_1.GSP,372,1.54,FINISHED
20_05_005_100_75_1.GSP,512,1.12,FINISHED
20_05_005_125_25_1.GSP,540,2.37,FINISHED
20_05_005_125_50_1.GSP,578,1.31,FINISHED
20_05_005_125_75_1.GSP,560,0.61,FINISHED
20_05_025_100_25_1.GSP,410,3.05,FINISHED
20_05_025_100_50_1.GSP,447,2.42,FINISHED
20_05_025_100_75_1.GSP,610,1.25,FINISHED
20_05_025_125_25_1.GSP,335,15.13,FINISHED
20_05_025_125_50_1.GSP,417,3.77,FINISHED
20_05_025_125_75_1.GSP,466,1.98,FINISHED
20_05_050_100_25_1.GSP,318,3.95,FINISHED
20_05_050_100_50_1.GSP,406,3.97,FINISHED
20_05_050_100_75_1.GSP,803,2.03,FINISHED
20_05_050_125_25_1.GSP,425,5.11,FINISHED
20_05_050_125_50_1.GSP,592,3.32,FINISHED
20_05_050_125_75_1.GSP,562,2.38,FINISHED
20_10_005_100_25_1.GSP,356,1.54,FINISHED
20_10_005_100_50_1.GSP,379,1.01,FINISHED
20_10_005_100_75_1.GSP,485,0.78,FINISHED
20_10_005_125_25_1.GSP,102,2.11,FINISHED
20_10_005_125_50_1.GSP,289,1.05,FINISHED
20_10_005_125_75_1.GSP,378,1.09,FINISHED
20_10_025_100_25_1.GSP,67,1.35,FINISHED
20_10_025_100_50_1.GSP,151,1.13,FINISHED
20_10_025_100_75_1.GSP,361,0.7,FINISHED
20_10_025_125_25_1.GSP,688,1.22,FINISHED
20_10_025_125_50_1.GSP,277,1.34,FINISHED
20_10_025_125_75_1.GSP,551,0.66,FINISHED
20_10_050_100_25_1.GSP,29,1.2,FINISHED
20_10_050_100_50_1.GSP,237,0.87,FINISHED
20_10_050_100_75_1.GSP,125,0.69,FINISHED
20_10_050_125_25_1.GSP,362,1.06,FINISHED
20_10_050_125_50_1.GSP,379,0.83,FINISHED
20_10_050_125_75_1.GSP,311,0.64,FINISHED
30_05_005_100_25_1.GSP,760,29.3,FINISHED
30_05_005_100_50_1.GSP,722,14.38,FINISHED
30_05_005_100_75_1.GSP,1032,9.16,FINISHED
30_05_005_125_25_1.GSP,739,88.11,FINISHED
30_05_005_125_50_1.GSP,966,12.25,FINISHED
30_05_005_125_75_1.GSP,1001,7.22,FINISHED
30_05_025_100_25_1.GSP,573,53.47,FINISHED
30_05_025_100_50_1.GSP,696,23.08,FINISHED
30_05_025_100_75_1.GSP,917,9.99,FINISHED
30_05_025_125_25_1.GSP,714,271.76,FINISHED
30_05_025_125_50_1.GSP,759,23.95,FINISHED
30_05_025_125_75_1.GSP,1001,4.7,FINISHED
30_05_050_100_25_1.GSP,206,8.64,FINISHED
30_05_050_100_50_1.GSP,478,4.95,FINISHED
30_05_050_100_75_1.GSP,704,14.07,FINISHED
30_05_050_125_25_1.GSP,546,300.02,TIMEOUT
30_05_050_125_50_1.GSP,739,10.84,FINISHED
30_05_050_125_75_1.GSP,678,10.57,FINISHED
30_10_005_100_25_1.GSP,239,3.58,FINISHED
30_10_005_100_50_1.GSP,1208,4.84,FINISHED
30_10_005_100_75_1.GSP,635,2.63,FINISHED
30_10_005_125_25_1.GSP,343,5.71,FINISHED
30_10_005_125_50_1.GSP,918,5.17,FINISHED
30_10_005_125_75_1.GSP,1092,3.16,FINISHED
30_10_025_100_25_1.GSP,856,2.45,FINISHED
30_10_025_100_50_1.GSP,472,4.89,FINISHED
30_10_025_100_75_1.GSP,509,5.97,FINISHED
30_10_025_125_25_1.GSP,354,5.94,FINISHED
30_10_025_125_50_1.GSP,104,6.88,FINISHED
30_10_025_125_75_1.GSP,1249,3.56,FINISHED
30_10_050_100_25_1.GSP,699,6.95,FINISHED
30_10_050_100_50_1.GSP,540,8.4,FINISHED
30_10_050_100_75_1.GSP,640,3.65,FINISHED
30_10_050_125_25_1.GSP,801,6.22,FINISHED
30_10_050_125_50_1.GSP,224,8.34,FINISHED
30_10_050_125_75_1.GSP,743,14.06,FINISHED
40_05_005_100_25_1.GSP,1266,300.02,TIMEOUT
40_05_005_100_50_1.GSP,1017,173.18,FINISHED
40_05_005_100_75_1.GSP,1257,8.62,FINISHED
40_05_005_125_25_1.GSP,996,45.68,FINISHED
40_05_005_125_50_1.GSP,853,26.57,FINISHED
40_05_005_125_75_1.GSP,1653,10.47,FINISHED
40_05_025_100_25_1.GSP,836,302.43,TIMEOUT
40_05_025_100_50_1.GSP,1453,300.02,TIMEOUT
40_05_025_100_75_1.GSP,789,21.92,FINISHED
40_05_025_125_25_1.GSP,1413,300.01,TIMEOUT
40_05_025_125_50_1.GSP,1051,300.02,TIMEOUT
40_05_025_125_75_1.GSP,1532,28.48,FINISHED
40_05_050_100_25_1.GSP,483,218.48,FINISHED
40_05_050_100_50_1.GSP,715,300.01,TIMEOUT
40_05_050_100_75_1.GSP,593,17.9,FINISHED
40_05_050_125_25_1.GSP,783,300.02,TIMEOUT
40_05_050_125_50_1.GSP,671,19.92,FINISHED
40_05_050_125_75_1.GSP,1110,31.98,FINISHED
40_10_005_100_25_1.GSP,610,6.53,FINISHED
40_10_005_100_50_1.GSP,883,23.64,FINISHED
40_10_005_100_75_1.GSP,1141,1.99,FINISHED
40_10_005_125_25_1.GSP,654,68.77,FINISHED
40_10_005_125_50_1.GSP,658,12.97,FINISHED
40_10_005_125_75_1.GSP,950,4.52,FINISHED
40_10_025_100_25_1.GSP,236,8.78,FINISHED
