filename,CPLEX,TIME (s),STATUS
10_05_005_100_25_1.GSP,20,0.97,FINISHED
10_05_005_100_50_1.GSP,16,0.77,FINISHED
10_05_005_100_75_1.GSP,23,0.63,FINISHED
10_05_005_125_25_1.GSP,22,0.57,FINISHED
10_05_005_125_50_1.GSP,35,0.55,FINISHED
10_05_005_125_75_1.GSP,37,0.55,FINISHED
10_05_025_100_25_1.GSP,14,0.54,FINISHED
10_05_025_100_50_1.GSP,28,0.55,FINISHED
10_05_025_100_75_1.GSP,34,0.54,FINISHED
10_05_025_125_25_1.GSP,22,0.53,FINISHED
10_05_025_125_50_1.GSP,23,0.54,FINISHED
10_05_025_125_75_1.GSP,27,0.54,FINISHED
10_05_050_100_25_1.GSP,8,0.54,FINISHED
10_05_050_100_50_1.GSP,19,0.54,FINISHED
10_05_050_100_75_1.GSP,18,0.53,FINISHED
10_05_050_125_25_1.GSP,12,0.54,FINISHED
10_05_050_125_50_1.GSP,22,0.53,FINISHED
10_05_050_125_75_1.GSP,18,0.54,FINISHED
10_10_005_100_25_1.GSP,-,0.49,ERROR
10_10_005_100_50_1.GSP,-,0.5,ERROR
10_10_005_100_75_1.GSP,-,0.5,ERROR
10_10_005_125_25_1.GSP,22,0.54,FINISHED
10_10_005_125_50_1.GSP,13,0.53,FINISHED
10_10_005_125_75_1.GSP,20,0.59,FINISHED
10_10_025_100_25_1.GSP,6,0.54,FINISHED
10_10_025_100_50_1.GSP,4,0.54,FINISHED
10_10_025_100_75_1.GSP,15,0.54,FINISHED
10_10_025_125_25_1.GSP,8,0.54,FINISHED
10_10_025_125_50_1.GSP,4,0.54,FINISHED
10_10_025_125_75_1.GSP,9,0.54,FINISHED
10_10_050_100_25_1.GSP,3,0.54,FINISHED
10_10_050_100_50_1.GSP,3,0.54,FINISHED
10_10_050_100_75_1.GSP,9,0.54,FINISHED
10_10_050_125_25_1.GSP,3,0.55,FINISHED
10_10_050_125_50_1.GSP,7,0.54,FINISHED
10_10_050_125_75_1.GSP,0,0.54,FINISHED
20_05_005_100_25_1.GSP,55,0.99,FINISHED
20_05_005_100_50_1.GSP,54,0.66,FINISHED
20_05_005_100_75_1.GSP,63,0.56,FINISHED
20_05_005_125_25_1.GSP,60,0.54,FINISHED
20_05_005_125_50_1.GSP,65,0.56,FINISHED
20_05_005_125_75_1.GSP,83,0.59,FINISHED
20_05_025_100_25_1.GSP,43,0.57,FINISHED
20_05_025_100_50_1.GSP,63,0.58,FINISHED
20_05_025_100_75_1.GSP,83,0.58,FINISHED
20_05_025_125_25_1.GSP,41,0.54,FINISHED
20_05_025_125_50_1.GSP,43,0.54,FINISHED
20_05_025_125_75_1.GSP,45,0.54,FINISHED
20_05_050_100_25_1.GSP,21,0.54,FINISHED
20_05_050_100_50_1.GSP,38,0.54,FINISHED
20_05_050_100_75_1.GSP,49,0.56,FINISHED
20_05_050_125_25_1.GSP,37,0.59,FINISHED
20_05_050_125_50_1.GSP,36,0.6,FINISHED
20_05_050_125_75_1.GSP,55,0.56,FINISHED
20_10_005_100_25_1.GSP,12,0.54,FINISHED
20_10_005_100_50_1.GSP,24,0.55,FINISHED
20_10_005_100_75_1.GSP,42,0.54,FINISHED
20_10_005_125_25_1.GSP,58,0.53,FINISHED
20_10_005_125_50_1.GSP,40,0.54,FINISHED
20_10_005_125_75_1.GSP,45,0.58,FINISHED
20_10_025_100_25_1.GSP,2,0.55,FINISHED
20_10_025_100_50_1.GSP,3,0.54,FINISHED
20_10_025_100_75_1.GSP,4,0.54,FINISHED
20_10_025_125_25_1.GSP,1,0.56,FINISHED
20_10_025_125_50_1.GSP,15,0.54,FINISHED
20_10_025_125_75_1.GSP,30,0.54,FINISHED
20_10_050_100_25_1.GSP,13,0.54,FINISHED
20_10_050_100_50_1.GSP,42,0.53,FINISHED
20_10_050_100_75_1.GSP,27,0.57,FINISHED
20_10_050_125_25_1.GSP,19,0.58,FINISHED
20_10_050_125_50_1.GSP,41,0.53,FINISHED
20_10_050_125_75_1.GSP,47,0.57,FINISHED
30_05_005_100_25_1.GSP,89,0.94,FINISHED
30_05_005_100_50_1.GSP,89,0.79,FINISHED
30_05_005_100_75_1.GSP,94,0.67,FINISHED
30_05_005_125_25_1.GSP,88,0.56,FINISHED
30_05_005_125_50_1.GSP,88,0.54,FINISHED
30_05_005_125_75_1.GSP,92,0.58,FINISHED
30_05_025_100_25_1.GSP,52,0.59,FINISHED
30_05_025_100_50_1.GSP,64,0.6,FINISHED
30_05_025_100_75_1.GSP,77,0.57,FINISHED
30_05_025_125_25_1.GSP,92,0.58,FINISHED
30_05_025_125_50_1.GSP,94,0.61,FINISHED
30_05_025_125_75_1.GSP,112,0.56,FINISHED
30_05_050_100_25_1.GSP,36,0.6,FINISHED
30_05_050_100_50_1.GSP,56,0.65,FINISHED
30_05_050_100_75_1.GSP,63,0.58,FINISHED
30_05_050_125_25_1.GSP,49,0.58,FINISHED
30_05_050_125_50_1.GSP,81,0.58,FINISHED
30_05_050_125_75_1.GSP,86,0.58,FINISHED
30_10_005_100_25_1.GSP,94,0.53,FINISHED
30_10_005_100_50_1.GSP,74,0.55,FINISHED
30_10_005_100_75_1.GSP,112,0.54,FINISHED
30_10_005_125_25_1.GSP,42,0.59,FINISHED
30_10_005_125_50_1.GSP,64,0.55,FINISHED
30_10_005_125_75_1.GSP,75,0.54,FINISHED
30_10_025_100_25_1.GSP,2,0.59,FINISHED
30_10_025_100_50_1.GSP,17,0.54,FINISHED
30_10_025_100_75_1.GSP,32,0.56,FINISHED
30_10_025_125_25_1.GSP,102,0.59,FINISHED
30_10_025_125_50_1.GSP,107,0.54,FINISHED
30_10_025_125_75_1.GSP,109,0.56,FINISHED
30_10_050_100_25_1.GSP,3,0.55,FINISHED
30_10_050_100_50_1.GSP,0,0.55,FINISHED
30_10_050_100_75_1.GSP,1,0.62,FINISHED
30_10_050_125_25_1.GSP,0,0.53,FINISHED
30_10_050_125_50_1.GSP,0,0.55,FINISHED
30_10_050_125_75_1.GSP,9,0.57,FINISHED
40_05_005_100_25_1.GSP,121,0.98,FINISHED
40_05_005_100_50_1.GSP,108,0.73,FINISHED
40_05_005_100_75_1.GSP,133,0.58,FINISHED
40_05_005_125_25_1.GSP,88,0.64,FINISHED
40_05_005_125_50_1.GSP,114,0.63,FINISHED
40_05_005_125_75_1.GSP,152,0.65,FINISHED
40_05_025_100_25_1.GSP,91,0.58,FINISHED
40_05_025_100_50_1.GSP,90,0.61,FINISHED
40_05_025_100_75_1.GSP,100,0.61,FINISHED
40_05_025_125_25_1.GSP,74,0.64,FINISHED
40_05_025_125_50_1.GSP,85,0.64,FINISHED
40_05_025_125_75_1.GSP,153,0.62,FINISHED
40_05_050_100_25_1.GSP,58,0.67,FINISHED
40_05_050_100_50_1.GSP,77,0.65,FINISHED
40_05_050_100_75_1.GSP,90,0.63,FINISHED
40_05_050_125_25_1.GSP,59,0.59,FINISHED
40_05_050_125_50_1.GSP,92,0.64,FINISHED
40_05_050_125_75_1.GSP,118,0.63,FINISHED
40_10_005_100_25_1.GSP,77,0.58,FINISHED
40_10_005_100_50_1.GSP,55,0.58,FINISHED
40_10_005_100_75_1.GSP,115,0.56,FINISHED
40_10_005_125_25_1.GSP,164,0.57,FINISHED
40_10_005_125_50_1.GSP,52,0.63,FINISHED
40_10_005_125_75_1.GSP,130,0.56,FINISHED
40_10_025_100_25_1.GSP,4,0.63,FINISHED
40_10_025_100_50_1.GSP,81,0.63,FINISHED
40_10_025_100_75_1.GSP,136,0.57,FINISHED
40_10_025_125_25_1.GSP,11,0.66,FINISHED
40_10_025_125_50_1.GSP,94,0.6,FINISHED
40_10_025_125_75_1.GSP,125,0.57,FINISHED
40_10_050_100_25_1.GSP,71,0.57,FINISHED
40_10_050_100_50_1.GSP,4,0.58,FINISHED
40_10_050_100_75_1.GSP,9,0.57,FINISHED
40_10_050_125_25_1.GSP,0,0.57,FINISHED
