filename,CPLEX,TIME (s),STATUS
10_05_005_100_25_1.GSP,20,1.04,FINISHED
10_05_005_100_50_1.GSP,16,0.54,FINISHED
10_05_005_100_75_1.GSP,23,0.52,FINISHED
10_05_005_125_25_1.GSP,22,0.53,FINISHED
10_05_005_125_50_1.GSP,35,0.51,FINISHED
10_05_005_125_75_1.GSP,37,0.51,FINISHED
10_05_025_100_25_1.GSP,14,0.53,FINISHED
10_05_025_100_50_1.GSP,28,0.54,FINISHED
10_05_025_100_75_1.GSP,34,0.68,FINISHED
10_05_025_125_25_1.GSP,22,0.61,FINISHED
10_05_025_125_50_1.GSP,23,0.57,FINISHED
10_05_025_125_75_1.GSP,27,0.54,FINISHED
10_05_050_100_25_1.GSP,8,0.55,FINISHED
10_05_050_100_50_1.GSP,19,0.55,FINISHED
10_05_050_100_75_1.GSP,18,0.52,FINISHED
10_05_050_125_25_1.GSP,12,0.54,FINISHED
10_05_050_125_50_1.GSP,22,0.52,FINISHED
10_05_050_125_75_1.GSP,18,0.56,FINISHED
10_10_005_100_25_1.GSP,-,0.56,ERROR
10_10_005_100_50_1.GSP,-,0.53,ERROR
10_10_005_100_75_1.GSP,-,0.55,ERROR
10_10_005_125_25_1.GSP,22,0.53,FINISHED
10_10_005_125_50_1.GSP,13,0.53,FINISHED
10_10_005_125_75_1.GSP,20,0.56,FINISHED
10_10_025_100_25_1.GSP,6,0.55,FINISHED
10_10_025_100_50_1.GSP,4,0.57,FINISHED
10_10_025_100_75_1.GSP,15,0.56,FINISHED
10_10_025_125_25_1.GSP,8,0.58,FINISHED
10_10_025_125_50_1.GSP,4,0.55,FINISHED
10_10_025_125_75_1.GSP,9,0.58,FINISHED
10_10_050_100_25_1.GSP,3,0.57,FINISHED
10_10_050_100_50_1.GSP,3,0.54,FINISHED
10_10_050_100_75_1.GSP,9,0.59,FINISHED
10_10_050_125_25_1.GSP,3,0.54,FINISHED
10_10_050_125_50_1.GSP,7,0.54,FINISHED
10_10_050_125_75_1.GSP,0,0.53,FINISHED
