filename,CPLEX,STATUS,TIME (s)
50_00_005_100_25_1.GSP,2252,FINISHED,599.49
50_00_005_100_50_1.GSP,-,ERROR,0.7
50_00_005_100_75_1.GSP,-,ERROR,0.78
50_00_005_125_25_1.GSP,-,ERROR,0.7
50_00_005_125_50_1.GSP,-,ERROR,0.67
50_00_005_125_75_1.GSP,2516,FINISHED,598.44
50_00_005_150_25_1.GSP,2400,TIMEOUT,600.01
50_00_005_150_50_1.GSP,2571,FINISHED,598.69
50_00_005_150_75_1.GSP,1967,FINISHED,598.34
50_00_025_100_25_1.GSP,1515,FINISHED,598.22
50_00_025_100_50_1.GSP,2262,FINISHED,598.16
50_00_025_100_75_1.GSP,-,ERROR,598.26
