filename,CPLEX,TIME (s),STATUS
10_05_005_100_25_1.GSP,20,0.47,FINISHED
10_05_005_100_50_1.GSP,16,0.33,FINISHED
10_05_005_100_75_1.GSP,23,0.31,FINISHED
10_05_005_125_25_1.GSP,22,0.36,FINISHED
10_05_005_125_50_1.GSP,35,0.32,FINISHED
10_05_005_125_75_1.GSP,37,0.28,FINISHED
10_05_025_100_25_1.GSP,14,0.28,FINISHED
10_05_025_100_50_1.GSP,28,0.22,FINISHED
10_05_025_100_75_1.GSP,34,0.21,FINISHED
10_05_025_125_25_1.GSP,22,0.22,FINISHED
10_05_025_125_50_1.GSP,23,0.2,FINISHED
10_05_025_125_75_1.GSP,27,0.19,FINISHED
10_05_050_100_25_1.GSP,8,0.21,FINISHED
10_05_050_100_50_1.GSP,19,0.23,FINISHED
10_05_050_100_75_1.GSP,18,0.22,FINISHED
10_05_050_125_25_1.GSP,12,0.25,FINISHED
10_05_050_125_50_1.GSP,22,0.23,FINISHED
10_05_050_125_75_1.GSP,18,0.21,FINISHED
10_10_005_100_25_1.GSP,-,0.2,ERROR
10_10_005_100_50_1.GSP,-,0.19,ERROR
10_10_005_100_75_1.GSP,-,0.19,ERROR
10_10_005_125_25_1.GSP,22,0.21,FINISHED
10_10_005_125_50_1.GSP,13,0.19,FINISHED
10_10_005_125_75_1.GSP,20,0.2,FINISHED
10_10_025_100_25_1.GSP,6,0.19,FINISHED
10_10_025_100_50_1.GSP,4,0.2,FINISHED
10_10_025_100_75_1.GSP,15,0.21,FINISHED
10_10_025_125_25_1.GSP,8,0.2,FINISHED
10_10_025_125_50_1.GSP,4,0.2,FINISHED
10_10_025_125_75_1.GSP,9,0.2,FINISHED
10_10_050_100_25_1.GSP,3,0.21,FINISHED
10_10_050_100_50_1.GSP,3,0.21,FINISHED
10_10_050_100_75_1.GSP,9,0.21,FINISHED
10_10_050_125_25_1.GSP,3,0.21,FINISHED
10_10_050_125_50_1.GSP,7,0.2,FINISHED
10_10_050_125_75_1.GSP,0,0.18,FINISHED
20_05_005_100_25_1.GSP,55,0.59,FINISHED
20_05_005_100_50_1.GSP,54,0.67,FINISHED
20_05_005_100_75_1.GSP,63,0.34,FINISHED
20_05_005_125_25_1.GSP,60,15.65,FINISHED
20_05_005_125_50_1.GSP,65,0.29,FINISHED
20_05_005_125_75_1.GSP,83,0.31,FINISHED
20_05_025_100_25_1.GSP,43,0.99,FINISHED
20_05_025_100_50_1.GSP,63,0.68,FINISHED
20_05_025_100_75_1.GSP,83,2.02,FINISHED
20_05_025_125_25_1.GSP,41,2.96,FINISHED
20_05_025_125_50_1.GSP,43,0.62,FINISHED
20_05_025_125_75_1.GSP,45,0.28,FINISHED
20_05_050_100_25_1.GSP,21,0.29,FINISHED
20_05_050_100_50_1.GSP,38,0.42,FINISHED
20_05_050_100_75_1.GSP,49,0.38,FINISHED
20_05_050_125_25_1.GSP,37,0.99,FINISHED
20_05_050_125_50_1.GSP,36,0.36,FINISHED
