filename,OUR OPT VALUE,STATUS,TIME (s)
50_00_005_100_00_3.GSP,241,TIMEOUT,600.0
50_00_005_100_25_2.GSP,216,TIMEOUT,600.02
50_00_005_100_25_3.GSP,213,TIMEOUT,600.02
50_00_005_100_50_3.GSP,247,TIMEOUT,600.02
50_00_005_100_50_4.GSP,228,TIMEOUT,600.02
50_00_005_100_75_3.GSP,217,TIMEOUT,600.01
50_00_005_125_00_1.GSP,258,TIMEOUT,600.03
50_00_005_125_00_2.GSP,225,TIMEOUT,600.02
50_00_005_125_00_3.GSP,227,TIMEOUT,600.01
50_00_005_125_00_4.GSP,240,TIMEOUT,600.01
50_00_005_125_25_1.GSP,227,TIMEOUT,600.02
50_00_005_125_25_2.GSP,254,TIMEOUT,600.02
50_00_005_125_50_2.GSP,225,TIMEOUT,600.02
50_00_005_125_50_4.GSP,234,TIMEOUT,600.01
50_00_005_125_75_4.GSP,192,TIMEOUT,600.01
50_00_005_150_00_1.GSP,222,TIMEOUT,600.01
50_00_005_150_00_2.GSP,266,TIMEOUT,600.02
50_00_005_150_00_3.GSP,226,TIMEOUT,600.02
50_00_005_150_00_4.GSP,235,TIMEOUT,600.01
50_00_005_150_25_1.GSP,245,TIMEOUT,600.02
50_00_005_150_25_2.GSP,235,TIMEOUT,600.02
50_00_005_150_25_3.GSP,201,TIMEOUT,600.01
50_00_005_150_25_4.GSP,215,TIMEOUT,600.01
50_00_005_150_50_1.GSP,257,TIMEOUT,600.02
50_00_005_150_50_2.GSP,224,TIMEOUT,600.01
50_00_005_150_50_3.GSP,212,TIMEOUT,600.02
50_00_005_150_50_4.GSP,250,TIMEOUT,600.01
50_00_005_150_75_1.GSP,254,TIMEOUT,600.02
50_00_005_150_75_2.GSP,242,TIMEOUT,600.01
50_00_005_150_75_3.GSP,247,TIMEOUT,600.02
50_00_005_150_75_4.GSP,235,TIMEOUT,600.01
50_00_025_100_00_1.GSP,182,TIMEOUT,600.02
50_00_025_100_00_2.GSP,190,TIMEOUT,600.02
50_00_025_100_00_4.GSP,183,TIMEOUT,600.02
50_00_025_100_25_1.GSP,188,TIMEOUT,600.01
50_00_025_100_25_2.GSP,182,TIMEOUT,600.01
50_00_025_100_50_1.GSP,216,TIMEOUT,600.01
50_00_025_100_50_2.GSP,186,TIMEOUT,600.01
50_00_025_100_50_3.GSP,191,TIMEOUT,600.01
50_00_025_100_50_4.GSP,188,TIMEOUT,600.01
50_00_025_100_75_1.GSP,175,TIMEOUT,600.02
50_00_025_100_75_3.GSP,213,TIMEOUT,600.01
50_00_025_100_75_4.GSP,203,TIMEOUT,600.02
50_00_025_125_00_1.GSP,193,TIMEOUT,600.01
50_00_025_125_00_2.GSP,193,TIMEOUT,600.02
50_00_025_125_00_3.GSP,197,TIMEOUT,600.02
50_00_025_125_25_1.GSP,186,TIMEOUT,600.02
