filename,OPT VALUE,OUR OPT VALUE,STATUS,TIME (s)
30_05_025_125_00_4.GSP,681.0,1946,TIMEOUT,600.01
30_05_025_150_00_3.GSP,751.0,4189,TIMEOUT,600.01
30_05_025_150_00_4.GSP,683.0,1935,TIMEOUT,600.01
30_05_050_100_00_1.GSP,634.0,1650,TIMEOUT,600.02
30_05_050_100_00_2.GSP,434.0,1475,TIMEOUT,600.01
30_05_050_100_00_3.GSP,462.0,1796,TIMEOUT,600.02
30_05_050_100_00_4.GSP,259.0,1613,TIMEOUT,600.01
30_05_050_100_25_1.GSP,971.0,1783,TIMEOUT,600.01
30_05_050_100_25_4.GSP,856.0,1217,TIMEOUT,600.0
30_05_050_125_00_1.GSP,408.0,1586,TIMEOUT,600.01
30_05_050_125_00_2.GSP,382.0,1484,TIMEOUT,600.02
30_05_050_125_00_3.GSP,428.0,1549,TIMEOUT,600.02
30_05_050_125_00_4.GSP,271.0,2013,TIMEOUT,600.01
30_05_050_125_25_3.GSP,969.0,1615,TIMEOUT,600.02
30_05_050_150_00_2.GSP,117.0,540,TIMEOUT,600.02
30_05_050_150_00_3.GSP,725.0,9415,FINISHED,9.38
30_05_050_150_00_4.GSP,268.0,1874,TIMEOUT,600.01
30_05_050_150_25_2.GSP,532.0,832,TIMEOUT,600.02
30_10_005_100_00_1.GSP,846.0,1978,TIMEOUT,600.01
30_10_005_100_00_2.GSP,349.0,1067,TIMEOUT,600.02
30_10_005_100_00_4.GSP,357.0,657,TIMEOUT,600.01
30_10_005_100_25_4.GSP,411.0,855,TIMEOUT,600.02
30_10_005_100_50_4.GSP,664.0,745,TIMEOUT,600.01
30_10_005_100_75_4.GSP,611.0,825,TIMEOUT,600.01
30_10_005_125_00_2.GSP,854.0,3169,TIMEOUT,600.01
