encoding,variables,clauses,clause generation time,mem gen,solver,solving time,mem solve,is_sat,validate
pairwise,10000,1646900,3.8157262802124023,242.7578125,Glucose42,0.676546573638916,74.55859375,True,True
pairwise,10000,1646900,3.8157262802124023,242.7578125,Lingeling,3.3720996379852295,62.12109375,True,True
pairwise,10000,1646900,3.8157262802124023,242.7578125,Cadical195,1.593489408493042,139.17578125,True,True
pairwise,10000,1646900,3.8157262802124023,242.7578125,Minisat22,0.6587717533111572,60.46484375,True,True
seqcounter,49398,117808,0.2584855556488037,24.18359375,Glucose42,88.71770095825195,11.8671875,True,True
seqcounter,49398,117808,0.2584855556488037,24.18359375,Lingeling,0.12474942207336426,12.0,True,True
seqcounter,49398,117808,0.2584855556488037,24.18359375,Cadical195,5.7106451988220215,25.39453125,True,True
seqcounter,49398,117808,0.2584855556488037,24.18359375,Minisat22,0.27626919746398926,11.30859375,True,True
cardnetwrk,167392,236784,0.5591163635253906,40.66015625,Glucose42,77.24016618728638,40.11328125,True,True
cardnetwrk,167392,236784,0.5591163635253906,40.66015625,Lingeling,0.26783061027526855,26.37890625,True,True
cardnetwrk,167392,236784,0.5591163635253906,40.66015625,Cadical195,4.300163507461548,21.54296875,True,True
cardnetwrk,167392,236784,0.5591163635253906,40.66015625,Minisat22,0.3664548397064209,28.59765625,True,True
