FILENAME,TYPE,SAT,SAT TIME (s),MP,MP TIME (s),CP,CP TIME (s),GUROBI,GUROBI TIME (s),BSAT,BSAT TIME (s)
10_05_005_100_25_1.GSP,S,20,0.24,20,1.04,20,0.97,20,0.47,20,0.18
10_05_005_100_50_1.GSP,S,16,0.24,16,0.54,16,0.77,16,0.33,16,0.27
10_05_005_100_75_1.GSP,S,23,0.18,23,0.52,23,0.63,23,0.31,23,0.18
10_05_005_125_25_1.GSP,S,22,0.21,22,0.53,22,0.57,22,0.36,22,0.21
10_05_005_125_50_1.GSP,S,35,0.21,35,0.51,35,0.55,35,0.32,35,0.19
10_05_005_125_75_1.GSP,S,37,0.17,37,0.51,37,0.55,37,0.28,37,0.17
10_05_025_100_25_1.GSP,S,14,0.19,14,0.53,14,0.54,14,0.28,14,0.18
10_05_025_100_50_1.GSP,S,28,0.16,28,0.54,28,0.55,28,0.22,28,0.14
10_05_025_100_75_1.GSP,S,34,0.15,34,0.68,34,0.54,34,0.21,34,0.15
10_05_025_125_25_1.GSP,S,22,0.16,22,0.61,22,0.53,22,0.22,22,0.15
10_05_025_125_50_1.GSP,S,23,0.19,23,0.57,23,0.54,23,0.2,23,0.17
10_05_025_125_75_1.GSP,S,27,0.15,27,0.54,27,0.54,27,0.19,27,0.14
10_05_050_100_25_1.GSP,S,8,0.18,8,0.55,8,0.54,8,0.21,8,0.19
10_05_050_100_50_1.GSP,S,19,0.17,19,0.55,19,0.54,19,0.23,19,0.25
10_05_050_100_75_1.GSP,S,18,0.15,18,0.52,18,0.53,18,0.22,18,0.19
10_05_050_125_25_1.GSP,S,12,0.16,12,0.54,12,0.54,12,0.25,12,0.17
10_05_050_125_50_1.GSP,S,22,0.13,22,0.52,22,0.53,22,0.23,22,0.16
10_05_050_125_75_1.GSP,S,18,0.12,18,0.56,18,0.54,18,0.21,18,0.16
10_10_005_100_25_1.GSP,S,-,0.1,-,0.56,-,0.49,-,0.2,-,0.13
10_10_005_100_50_1.GSP,S,-,0.1,-,0.53,-,0.5,-,0.19,-,0.12
10_10_005_100_75_1.GSP,S,-,0.1,-,0.55,-,0.5,-,0.19,-,0.13
